Modelo,Neurona,Media,Desv_Std,Pct_Cerca_Cero,Tipo_Detector,Gradiente_H,Gradiente_V,Max_Pos_Ubicacion,Max_Neg_Ubicacion
NET2_aug,102,-0.012588145211338997,0.025145094841718674,61.160000000000004,textura,0.007211040705442429,0.00708942161872983,"(28, 73)","(79, 39)"
NET2_aug,103,0.01126429159194231,0.023381277918815613,53.28000000000001,textura,0.007496875245124102,0.007304389961063862,"(67, 21)","(10, 55)"
NET2_aug,104,-0.0010773425456136465,0.004101643804460764,92.57,localizado,0.0020985729061067104,0.0020667461212724447,"(35, 69)","(55, 67)"
NET2_aug,105,-0.005838492419570684,0.030109133571386337,55.33,textura,0.008525081910192966,0.00832346174865961,"(41, 71)","(35, 81)"
NET2_aug,106,-0.009081108495593071,0.03254885599017143,62.660000000000004,textura,0.007750983349978924,0.007772139739245176,"(61, 47)","(48, 18)"
NET2_aug,107,0.008568530902266502,0.02598363161087036,55.379999999999995,textura,0.007739432156085968,0.00790354609489441,"(25, 66)","(65, 73)"
NET2_aug,108,-0.0010488309198990464,0.004707460291683674,91.67,localizado,0.0025446279905736446,0.002484208205714822,"(68, 65)","(43, 27)"
NET2_aug,109,-0.004330858588218689,0.028030842542648315,54.730000000000004,textura,0.008466463536024094,0.00837528333067894,"(74, 52)","(50, 20)"
NET2_aug,110,0.0054747178219258785,0.034608155488967896,48.91,textura,0.009959602728486061,0.010002175346016884,"(80, 66)","(60, 26)"
NET2_aug,111,-0.008872675709426403,0.02711297571659088,66.24,textura,0.006560624111443758,0.006653917953372002,"(49, 27)","(45, 22)"
NET2_aug,112,-0.0007223623106256127,0.004456421826034784,91.7,localizado,0.0023505459539592266,0.0023525215219706297,"(26, 38)","(28, 67)"
NET2_aug,113,0.004770239349454641,0.03175613284111023,49.04,textura,0.009346231818199158,0.009360803291201591,"(16, 65)","(57, 38)"
NET2_aug,114,-0.011120879091322422,0.032439641654491425,64.03999999999999,textura,0.007397451903671026,0.007718394976109266,"(26, 42)","(76, 60)"
NET2_aug,115,0.01032443530857563,0.02562176063656807,54.97,textura,0.007383773569017649,0.007364247459918261,"(68, 79)","(48, 42)"
NET2_aug,116,-0.0014136011013761163,0.004238068126142025,91.60000000000001,localizado,0.0022107085678726435,0.0022465591318905354,"(27, 53)","(52, 79)"
NET2_aug,117,-0.0035660709254443645,0.02386443316936493,59.69,textura,0.006768994498997927,0.006733379792422056,"(13, 35)","(57, 73)"
NET2_aug,118,-0.0001371071848552674,0.024928156286478043,55.00000000000001,textura,0.007782166823744774,0.0076117143034935,"(41, 42)","(60, 82)"
NET2_aug,119,-0.0074778394773602486,0.015172792598605156,68.77,textura,0.004461808130145073,0.00439926702529192,"(36, 28)","(40, 74)"
NET2_aug,120,0.007544260937720537,0.02971942536532879,50.980000000000004,textura,0.009227203205227852,0.008947910740971565,"(56, 84)","(72, 43)"
NET2_aug,121,-0.007948611862957478,0.032552752643823624,60.81999999999999,textura,0.008862458169460297,0.008917666040360928,"(56, 29)","(77, 39)"
NET2_aug,122,-0.003994242288172245,0.02919686771929264,54.1,textura,0.00824459083378315,0.008250883780419827,"(18, 41)","(51, 56)"
NET2_aug,123,-0.002616605721414089,0.006436333991587162,84.95,localizado,0.0029913962353020906,0.0030138185247778893,"(37, 70)","(61, 56)"
NET2_aug,124,-0.0008676393772475421,0.004185826517641544,92.58,localizado,0.0020988790784031153,0.0021220732014626265,"(55, 24)","(25, 63)"
NET2_aug,125,-0.0009130401886068285,0.00377941713668406,94.28,localizado,0.0019063444342464209,0.001927662524394691,"(44, 74)","(51, 76)"
NET2_aug,126,-0.0010428708046674728,0.0028815879486501217,96.78999999999999,localizado,0.001195071847178042,0.0012132354313507676,"(43, 69)","(56, 76)"
NET2_aug,127,-0.00880417600274086,0.030772313475608826,62.839999999999996,textura,0.007389259524643421,0.0078350231051445,"(70, 56)","(78, 62)"
NET2_aug,128,-0.00859548058360815,0.03142937645316124,60.25,textura,0.007721893489360809,0.008052842691540718,"(78, 47)","(27, 60)"
